,Addendum B.-- OPPS Payment by HCPCS Code for CY 2025,,,,,,,,,,,
,CPT codes and descriptions only are copyright 2024 American Medical Association.ÿ All Rights Reserved.ÿ Applicable FARS/DFARS Apply. Dental codes (D codes) are copyright 2024 American Dental Association.ÿ All Rights Reserved.,,,,,,,,,,,
,"The existence or absence of a HCPCS code does not mean that an item or service is covered or non-covered. As a reminder, the fact that a drug, device, procedure, or service is assigned a HCPCS code and a payment rate under the OPPS does not imply coverage by the Medicare program, but indicates only how the product, procedure, or service may be paid if covered by the program. Medicare Administrative Contractors (MACs) determine whether a drug, device, procedure, or other service meets all program requirements for coverage. For example, MACs determine that it is reasonable and necessary to treat the beneficiary?s condition and whether it is excluded from payment.",,,,,,,,,,,
,Inflation-adjusted 3-digit coinsurance percentage may not precisely reflect the copayment amount due to rounding calculations.,,,,,,,,,,,
HCPCS Code,Short Descriptor,SI,APC,Relative Weight,Payment Rate,National Unadjusted Copayment,Minimum Unadjusted Copayment,IRA Coinsurance percentage ,Adjusted Beneficiary Copayment,Drug and Device Pass-Through Expiration during Calendar Year,Note,* Indicates a Change
0001F,Heart failure composite,E1,,, ,,,,,,,
0001U,Rbc dna hea 35 ag 11 bld grp,A,,, ,,,,,,,
0002M,Liver dis 10 assays w/ash,Q4,,, ,,,,,,,
0002U,Onc clrct 3 ur metab alg plp,Q4,,, ,,,,,,,
0003M,Liver dis 10 assays w/nash,Q4,,, ,,,,,,,
0003U,Onc ovar 5 prtn ser alg scor,Q4,,, ,,,,,,,
0004M,Scoliosis dna alys,A,,, ,,,,,,,
0005F,Osteoarthritis composite,E1,,, ,,,,,,,
0005U,Onco prst8 3 gene ur alg,Q4,,, ,,,,,,,
0006M,Onc hep gene risk classifier,A,,, ,,,,,,,
0007M,Onc gastro 51 gene nomogram,A,,, ,,,,,,,
0007U,Rx test prsmv ur w/def conf,Q4,,, ,,,,,,,
0008U,Hpylori detcj abx rstnc dna,A,,, ,,,,,,,
0009U,Onc brst ca erbb2 amp/nonamp,Q4,,, ,,,,,,,
00100,Anesth salivary gland,N,,, ,,,,,,,
00102,Anesth repair of cleft lip,N,,, ,,,,,,,
00103,Anesth blepharoplasty,N,,, ,,,,,,,
00104,Anesth electroshock,N,,, ,,,,,,,
0010U,Nfct ds strn typ whl gen seq,Q4,,, ,,,,,,,
0011M,Onc prst8 ca mrna 12 gen alg,A,,, ,,,,,,,
0011U,Rx mntr lc-ms/ms oral fluid,Q4,,, ,,,,,,,
00120,Anesth ear surgery,N,,, ,,,,,,,
00124,Anesth ear exam,N,,, ,,,,,,,
00126,Anesth tympanotomy,N,,, ,,,,,,,
0012F,Cap bacterial assess,E1,,, ,,,,,,,
0012M,Onc mrna 5 gen rsk urthl ca,A,,, ,,,,,,,
0013M,Onc mrna 5 gen recr urthl ca,A,,, ,,,,,,,
00140,Anesth procedures on eye,N,,, ,,,,,,,
00142,Anesth lens surgery,N,,, ,,,,,,,
00144,Anesth corneal transplant,N,,, ,,,,,,,
00145,Anesth vitreoretinal surg,N,,, ,,,,,,,
00147,Anesth iridectomy,N,,, ,,,,,,,
00148,Anesth eye exam,N,,, ,,,,,,,
0014F,Comp preop assess cat surg,E1,,, ,,,,,,,
0015F,Melan follow-up complete,E1,,, ,,,,,,,
0015M,Adrnl cortcl tum bchm asy 25,Q4,,, ,,,,,,,
00160,Anesth nose/sinus surgery,N,,, ,,,,,,,
00162,Anesth nose/sinus surgery,N,,, ,,,,,,,
00164,Anesth biopsy of nose,N,,, ,,,,,,,
0016M,Onc bladder mrna 219 gen alg,A,,, ,,,,,,,
0016U,Onc hmtlmf neo rna bcr/abl1,A,,, ,,,,,,,
00170,Anesth procedure on mouth,N,,, ,,,,,,,
00172,Anesth cleft palate repair,N,,, ,,,,,,,
00174,Anesth pharyngeal surgery,N,,, ,,,,,,,
00176,Anesth pharyngeal surgery,C,,, ,,,,,,,
0017M,Onc dlbcl mrna 20 genes alg,A,,, ,,,,,,,
0017U,Onc hmtlmf neo jak2 mut dna,A,,, ,,,,,,,
0018M,Trnsplj rnl meas cd154+cll,Q4,,, ,,,,,,,
0018U,Onc thyr 10 microrna seq alg,A,,, ,,,,,,,
00190,Anesth face/skull bone surg,N,,, ,,,,,,,
00192,Anesth facial bone surgery,C,,, ,,,,,,,
0019M,Cv ds plasma alys prtn bmrk,Q4,,, ,,,,,,,
