HCPCS Code,Description,NDC,Drug Name,Pkg Size,Pkg Qty,BUPP,Payment Limit,ASP,SI,Effective Start Date
90371,Hep b ig im,13533-0636-01,HyperHepB,1.0,1,1.0,137.828,130.026,K,2026-01-01
90371,Hep b ig im,13533-0636-03,HyperHepB,0.5,1,1.0,137.828,130.026,K,2026-01-01
90371,Hep b ig im,13533-0636-05,HyperHepB,5.0,1,5.0,137.828,130.026,K,2026-01-01
90371,Hep b ig im,69800-4202-01,Nabi-Hb,1.0,1,1.0,137.828,130.026,K,2026-01-01
90371,Hep b ig im,69800-4203-01,Nabi-Hb,5.0,1,5.0,137.828,130.026,K,2026-01-01
90375,Rabies ig im/sc,13533-0318-01,HyperRAB,1.0,1,2.0,279.949,264.103,K,2026-01-01
90375,Rabies ig im/sc,13533-0318-03,HyperRAB,3.0,1,6.0,279.949,264.103,K,2026-01-01
90375,Rabies ig im/sc,13533-0318-05,HyperRAB,5.0,1,10.0,279.949,264.103,K,2026-01-01
90377,Rabies ig ht&sol human im/sc,76125-0150-02,Kedrab,2.0,1,2.0,240.133,226.541,K,2026-01-01
90377,Rabies ig ht&sol human im/sc,76125-0150-10,Kedrab,10.0,1,10.0,240.133,226.541,K,2026-01-01
90586,Bcg vaccine intravesical,00052-0602-02,Tice Bcg,1.0,1,1.0,163.971,154.69,B,2026-01-01
90632,Hepa vaccine adult im,00006-4096-02,Vaqta,1.0,10,10.0,73.542,69.379,N,2026-01-01
90632,Hepa vaccine adult im,00006-4841-41,Vaqta,1.0,10,10.0,73.542,69.379,N,2026-01-01
90632,Hepa vaccine adult im,50090-1502-00,Havrix,1.0,10,10.0,73.542,69.379,N,2026-01-01
90632,Hepa vaccine adult im,58160-0826-52,Havrix,1.0,10,10.0,73.542,69.379,N,2026-01-01
90675,Rabies vaccine im,49281-0252-51,Imovax Rabies,1.0,1,1.0,319.748,301.649,K,2026-01-01
90675,Rabies vaccine im,50632-0010-01,Rabavert,1.0,1,1.0,319.748,301.649,K,2026-01-01
90714,Td vacc no presv 7 yrs+ im,13533-0131-01,Tetanus-Diphtheria Toxoids Td,0.5,10,10.0,38.972,36.766,N,2026-01-01
90714,Td vacc no presv 7 yrs+ im,49281-0215-10,Tetanus-Diphtheria Toxoids Td,0.5,10,10.0,38.972,36.766,N,2026-01-01
90714,Td vacc no presv 7 yrs+ im,49281-0215-15,Tetanus-Diphtheria Toxoids Td,0.5,10,10.0,38.972,36.766,N,2026-01-01
90714,Td vacc no presv 7 yrs+ im,50090-2062-00,Tenivac,0.5,10,10.0,38.972,36.766,N,2026-01-01
90715,Tdap vaccine 7 yrs/> im,49281-0400-10,Adacel,0.5,10,10.0,39.69,37.443,N,2026-01-01
90715,Tdap vaccine 7 yrs/> im,49281-0400-20,Adacel,0.5,5,5.0,39.69,37.443,N,2026-01-01
90715,Tdap vaccine 7 yrs/> im,50090-1377-00,Boostrix,0.5,10,10.0,39.69,37.443,N,2026-01-01
90715,Tdap vaccine 7 yrs/> im,50090-1831-00,Boostrix,0.5,10,10.0,39.69,37.443,N,2026-01-01
90715,Tdap vaccine 7 yrs/> im,58160-0842-11,Boostrix,0.5,10,10.0,39.69,37.443,N,2026-01-01
90715,Tdap vaccine 7 yrs/> im,58160-0842-52,Boostrix,0.5,10,10.0,39.69,37.443,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",00270-7015-46,Vueway,30.0,25,750.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",00270-7015-48,Vueway,50.0,25,1250.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",00270-7020-38,Vueway,3.0,10,30.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",00270-7025-40,Vueway,7.5,10,75.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",00270-7030-42,Vueway,10.0,10,100.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",67684-4230-02,Elucirem,3.0,10,30.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",67684-4231-02,Elucirem,7.5,10,75.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",67684-4232-02,Elucirem,10.0,10,100.0,3.298,3.111,N,2026-01-01
A9573,"Inj, gadopiclenol, 1 ml",67684-4240-02,Elucirem,7.5,10,75.0,3.298,3.111,N,2026-01-01
