HCPCS Code,NDC,Description,Drug Name,Pkg Size,Pkg Qty,BUPP,Payment Limit,ASP
90371,13533-0636-01,Hep b ig im,HyperHepB ,1.0,1,1.0,143.771,135.633
90371,13533-0636-03,Hep b ig im,HyperHepB ,0.5,1,0.5,143.771,135.633
90371,13533-0636-05,Hep b ig im,HyperHepB,5.0,1,5.0,143.771,135.633
90371,69800-4202-01,Hep b ig im,Nabi-Hb,1.0,1,1.0,143.771,135.633
90371,69800-4203-01,Hep b ig im,Nabi-Hb,5.0,1,5.0,143.771,135.633
90375,13533-0318-01,Rabies ig im/sc,HyperRAB,1.0,1,2.0,288.383,272.059
90375,13533-0318-03,Rabies ig im/sc,HyperRAB,3.0,1,6.0,288.383,272.059
90375,13533-0318-05,Rabies ig im/sc,HyperRAB,5.0,1,10.0,288.383,272.059
90377,76125-0150-02,Rabies ig ht&sol human im/sc,KEDRAB,2.0,1,2.0,260.435,245.693
90377,76125-0150-10,Rabies ig ht&sol human im/sc,KEDRAB,10.0,1,10.0,260.435,245.693
90586,00052-0602-02,Bcg vaccine intravesical,Tice Bcg,1.0,1,1.0,143.589,135.461
90632,00006-4096-02,Hepa vaccine adult im,Vaqta,1.0,10,10.0,70.388,66.404
90632,00006-4841-41,Hepa vaccine adult im,Vaqta,1.0,10,10.0,70.388,66.404
90632,50090-1502-00,Hepa vaccine adult im,HAVRIX ADULT,1.0,10,10.0,70.388,66.404
90632,58160-0826-52,Hepa vaccine adult im,Havrix,1.0,10,10.0,70.388,66.404
90675,49281-0252-51,Rabies vaccine im,Imovax Rabies,1.0,1,1.0,338.493,319.333
90675,50632-0010-01,Rabies vaccine im,RABAVERT,1.0,1,1.0,338.493,319.333
90714,13533-0131-01,Td vacc no presv 7 yrs+ im,Tetanus-Diphtheria Toxoids Td,0.5,10,10.0,27.817,26.242
90714,49281-0215-10,Td vacc no presv 7 yrs+ im,Tetanus-Diphtheria Toxoids Td,0.5,10,10.0,27.817,26.242
90714,49281-0215-15,Td vacc no presv 7 yrs+ im,Tetanus-Diphtheria Toxoids Td,0.5,10,10.0,27.817,26.242
90715,49281-0400-10,Tdap vaccine 7 yrs/> im,ADACEL,0.5,10,10.0,38.292,36.125
90715,49281-0400-20,Tdap vaccine 7 yrs/> im,ADACEL,0.5,5,5.0,38.292,36.125
90715,50090-1377-00,Tdap vaccine 7 yrs/> im,BOOSTRIX,0.5,10,10.0,38.292,36.125
90715,50090-1831-00,Tdap vaccine 7 yrs/> im,BOOSTRIX,0.5,10,10.0,38.292,36.125
90715,58160-0842-11,Tdap vaccine 7 yrs/> im,BOOSTRIX,0.5,10,10.0,38.292,36.125
90715,58160-0842-52,Tdap vaccine 7 yrs/> im,BOOSTRIX,0.5,10,10.0,38.292,36.125
A9573,00270-7015-46,Inj gadopiclenol,Vueway,30.0,25,750.0,3.911,3.69
A9573,00270-7015-48,Inj gadopiclenol,Vueway,50.0,25,1250.0,3.911,3.69
A9573,00270-7020-38,Inj gadopiclenol,Vueway,3.0,10,30.0,3.911,3.69
A9573,00270-7025-40,Inj gadopiclenol,Vueway,7.5,10,75.0,3.911,3.69
A9573,00270-7030-42,Inj gadopiclenol,Vueway,10.0,10,100.0,3.911,3.69
A9573,67684-4230-02,Inj gadopiclenol,Elucirem,3.0,10,30.0,3.911,3.69
A9573,67684-4231-02,Inj gadopiclenol,Elucirem,7.5,10,75.0,3.911,3.69
A9573,67684-4232-02,Inj gadopiclenol,Elucirem,10.0,10,100.0,3.911,3.69
A9573,67684-4240-02,Inj gadopiclenol,Elucirem,7.5,10,75.0,3.911,3.69
A9573,67684-4241-02,Inj gadopiclenol,Elucirem,10.0,10,100.0,3.911,3.69
A9573,67684-4250-04,Inj gadopiclenol,Elucirem,50.0,25,1250.0,3.911,3.69
A9575,00407-2943-01,Inj gadoterate meglumi 0.1ml,Clariscan,10.0,10,1000.0,0.116,0.109
A9575,00407-2943-02,Inj gadoterate meglumi 0.1ml,Clariscan,15.0,10,1500.0,0.116,0.109
A9575,00407-2943-05,Inj gadoterate meglumi 0.1ml,Clariscan,20.0,10,2000.0,0.116,0.109
A9575,00407-2943-06,Inj gadoterate meglumi 0.1ml,Gadoterate Meglumine,5.0,10,500.0,0.116,0.109
A9575,00407-2943-12,Inj gadoterate meglumi 0.1ml,Gadoterate Meglumine,10.0,10,1000.0,0.116,0.109
A9575,00407-2943-17,Inj gadoterate meglumi 0.1ml,Gadoterate Meglumine,15.0,10,1500.0,0.116,0.109
A9575,00407-2943-22,Inj gadoterate meglumi 0.1ml,Gadoterate Meglumine,20.0,10,2000.0,0.116,0.109
A9575,00407-2943-70,Inj gadoterate meglumi 0.1ml,Gadoterate Meglumine,100.0,10,10000.0,0.116,0.109
A9575,65219-0080-05,Inj gadoterate meglumi 0.1ml,GADOTERATE MEGLUMINE,5.0,10,500.0,0.116,0.109
A9575,65219-0082-10,Inj gadoterate meglumi 0.1ml,GADOTERATE MEGLUMINE,10.0,10,1000.0,0.116,0.109
A9575,65219-0084-15,Inj gadoterate meglumi 0.1ml,GADOTERATE MEGLUMINE,15.0,10,1500.0,0.116,0.109
A9575,65219-0086-20,Inj gadoterate meglumi 0.1ml,GADOTERATE MEGLUMINE,20.0,10,2000.0,0.116,0.109
A9575,65219-0088-50,Inj gadoterate meglumi 0.1ml,GADOTERATE MEGLUMINE,100.0,6,6000.0,0.116,0.109
A9575,67684-2000-00,Inj gadoterate meglumi 0.1ml,Dotarem,5.0,10,500.0,0.116,0.109
A9575,67684-2000-01,Inj gadoterate meglumi 0.1ml,Dotarem,10.0,10,1000.0,0.116,0.109
A9575,67684-2000-05,Inj gadoterate meglumi 0.1ml,Dotarem,10.0,5,500.0,0.116,0.109
A9575,67684-2000-06,Inj gadoterate meglumi 0.1ml,Dotarem,15.0,5,750.0,0.116,0.109
A9575,67684-2001-00,Inj gadoterate meglumi 0.1ml,Dotarem,5.0,10,500.0,0.116,0.109
A9575,67684-2001-01,Inj gadoterate meglumi 0.1ml,Dotarem,10.0,10,1000.0,0.116,0.109
A9575,67684-2001-02,Inj gadoterate meglumi 0.1ml,Dotarem,15.0,10,1500.0,0.116,0.109
A9575,67684-2001-03,Inj gadoterate meglumi 0.1ml,Dotarem,20.0,10,2000.0,0.116,0.109
A9575,67684-2001-04,Inj gadoterate meglumi 0.1ml,Dotarem,100.0,6,6000.0,0.116,0.109
A9575,67684-3001-01,Inj gadoterate meglumi 0.1ml,Dotarem,10.0,10,1000.0,0.116,0.109
A9575,67684-3001-02,Inj gadoterate meglumi 0.1ml,Dotarem,15.0,10,1500.0,0.116,0.109
A9575,67684-3001-03,Inj gadoterate meglumi 0.1ml,Dotarem,20.0,10,2000.0,0.116,0.109
A9576,00270-1111-70,Inj prohance multipack,Prohance Multipack,50.0,5,250.0,1.472,1.389
A9577,00270-5164-12,Inj multihance,Multihance,5.0,5,25.0,1.834,1.73
A9577,00270-5164-13,Inj multihance,Multihance,10.0,5,50.0,1.834,1.73
A9577,00270-5164-14,Inj multihance,Multihance,15.0,5,75.0,1.834,1.73
A9577,00270-5164-15,Inj multihance,Multihance,20.0,5,100.0,1.834,1.73
A9578,00270-5264-16,Inj multihance multipack,Multihance Multipack,50.0,5,250.0,1.808,1.706
A9578,00270-5264-17,Inj multihance multipack,Multihance Multipack,100.0,5,500.0,1.808,1.706
A9579,00270-1111-01,"Gad-base mr contrast nos,1ml",Prohance,10.0,5,50.0,1.502,1.417
A9579,00270-1111-02,"Gad-base mr contrast nos,1ml",Prohance,15.0,5,75.0,1.502,1.417
A9579,00270-1111-03,"Gad-base mr contrast nos,1ml",Prohance,20.0,5,100.0,1.502,1.417
A9579,00270-1111-04,"Gad-base mr contrast nos,1ml",Prohance,5.0,5,25.0,1.502,1.417
A9579,00270-1111-16,"Gad-base mr contrast nos,1ml",Prohance Prefilled Syringes,10.0,5,50.0,1.502,1.417
A9579,00270-1111-85,"Gad-base mr contrast nos,1ml",PROHANCE,100.0,5,500.0,1.502,1.417
A9579,00407-0690-05,"Gad-base mr contrast nos,1ml",Omniscan,5.0,10,50.0,1.502,1.417
A9579,00407-0690-10,"Gad-base mr contrast nos,1ml",Omniscan,10.0,10,100.0,1.502,1.417
A9579,00407-0690-12,"Gad-base mr contrast nos,1ml",Omniscan,10.0,10,100.0,1.502,1.417
