Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective April 1, 2024 through June 30, 2024",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q23 ASP data.,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90371,Hep b ig im,1 ML,141.115,20.000,,,,,,
90375,Rabies ig im/sc,150 IU,285.652,20.000,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,250.980,20.000,,,,,,
90586,Bcg vaccine intravesical,1 EACH,144.479,20.000,,,,,,
90632,Hepa vaccine adult im,1 ML,70.541,20.000,,,,,,
90662,Iiv no prsv increased ag im,0.5 ML,73.403,0.000,95,73.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90670,Pcv13 vaccine im,0.5 ML,257.989,0.000,95,257.989,,,,
90671,PCV15 vaccine IM,1 EA,253.560,0.000,95,253.560,,,,
90672,Laiv4 vaccine intranasal,0.2 ML,27.788,0.000,95,27.788,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90674,Cciiv4 vac no prsv 0.5 ml im,0.5 ML,34.172,0.000,95,34.172,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90675,Rabies vaccine im,1 ML,322.765,20.000,,,,,,
90677,Pcv20 vaccine im,0.5 ML,298.036,0.000,95,298.036,,,,
90682,Riv4 vacc recombinant dna im,0.5 ML,73.403,0.000,95,73.403,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,22.350,0.000,95,22.350,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,10.439,0.000,95,10.439,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,20.878,0.000,95,20.878,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,77.359,0.000,95,77.359,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates 
90714,Td vacc no presv 7 yrs+ im,0.5 ML,18.828,20.000,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,39.086,20.000,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,160.284,0.000,95,160.284,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,158.152,0.000,95,158.152,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.000,95,75.145,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,30.770,0.000,95,30.770,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.376,0.000,95,70.376,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.752,0.000,95,140.752,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,32.374,0.000,95,32.374,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,
91304,SARSCOV2 VAC 5MCG/0.5ML IM,0.5 ML,148.200,0.000,95,148.200,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91318,SARSCOV2 VAC 3MCG TRS-SUC IM,0.3 ML,65.550,0.000,95,65.550,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91319,SARSCV2 VAC 10MCG TRS-SUC IM,0.3 ML,87.780,0.000,95,87.780,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91320,SARSCV2 VAC 30MCG TRS-SUC IM,0.3 ML,131.100,0.000,95,131.100,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91321,SARSCOV2 VAC 25 MCG/.25ML IM,0.25 ML,145.920,0.000,95,145.920,,,,See COVID-19 vaccine pricing webpage for payment effective dates
91322,SARSCOV2 VAC 50 MCG/0.5ML IM,0.5 ML,145.920,0.000,95,145.920,,,,See COVID-19 vaccine pricing webpage for payment effective dates
A9573,Inj gadopiclenol,1 ML,5.126,20.000,,,,,,Added April 2024
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.128,20.000,,,,,,
A9576,Inj prohance multipack,1 ML,1.493,20.000,,,,,,
A9577,Inj multihance,1 ML,1.821,20.000,,,,,,
A9578,Inj multihance multipack,1 ML,1.734,20.000,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.509,20.000,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.764,20.000,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.347,20.000,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1321.841,20.000,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $187.44
microCurie 100% WAC = $156.20"
J0121,"Inj., omadacycline, 1 mg",1 MG,3.750,20.000,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.112,20.000,,,,,,
J0129,Abatacept injection,10 MG,42.840,20.000,,,,,,"""lesser of"" methodology applied"
J0131,"Inj, acetaminophen (nos)",10 MG,0.050,20.000,,,,,,
J0132,Acetylcysteine injection,100 MG,0.770,20.000,,,,,,
J0133,Acyclovir injection,5 MG,0.059,20.000,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.050,20.000,,,,,,AMP-based payment limit
J0136,"Inj, acetaminophen (b braun)",10 MG,0.052,20.000,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.066,20.000,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.556,20.000,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.812,20.000,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,20.000,,,,,,
J0173,"Inj, epinephrine (belcher)",0.1 MG,1.886,20.000,,,,,,
J0174,"Inj, lecanemab-irmb, 1 mg",1 MG,1.339,20.000,,,,,,
J0177,"Inj, aflibercept hd, 1 mg",1 MG,341.749,20.000,,,,,,Added April 2024
J0178,Aflibercept injection,1 MG,841.128,20.000,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,325.679,20.000,,,,,,
J0180,Agalsidase beta injection,1 MG,218.275,20.000,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.666,20.000,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2347.582,20.000,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,5.430,20.000,,,,,,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,376.580,20.000,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,75.996,20.000,,,,,,
J0221,Lumizyme injection,10 MG,197.303,20.000,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,99.204,20.000,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,112.020,20.000,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,318.100,20.000,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,4935.214,20.000,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,6.058,20.000,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.912,20.000,,,,,,
J0257,Glassia injection,10 MG,5.395,20.000,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.860,20.000,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,8.836,20.000,,,,,,
J0283,"Inj, amiodarone (nexterone)",30 MG,2.545,11.535,,,,,,Added April 2024 - inflation-adjusted coinsurance
J0285,Amphotericin b,50 MG,38.574,20.000,,,,,,
J0289,Amphotericin b liposome inj,10 MG,27.682,20.000,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.997,20.000,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.598,19.908,,,,,,Inflation-adjusted coinsurance
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.123,20.000,,,,,,
J0348,Anidulafungin injection,1 MG,0.464,20.000,,,,,,
J0360,Hydralazine hcl injection,20 MG,5.556,20.000,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,6.814,20.000,,,,,,
J0402,"Inj, abilify asimtufii, 1 mg",1 MG,5.807,20.000,,,,,,
J0456,Azithromycin,500 MG,2.408,20.000,,,,,,
J0457,"Injection, aztreonam, 100 mg",100 MG,2.575,20.000,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.068,20.000,,,,,,
J0475,Baclofen 10 mg injection,10 MG,177.873,20.000,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,57.913,20.000,,,,,,
J0480,Basiliximab,20 MG,4487.000,20.000,,,,,,
J0485,Belatacept injection,1 MG,3.870,20.000,,,,,,
J0490,Belimumab injection,10 MG,54.102,20.000,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,17.135,20.000,,,,,,
J0500,Dicyclomine injection,20 MG,24.985,20.000,,,,,,
J0515,Inj benztropine mesylate,1 MG,16.448,20.000,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,165.247,20.000,,,,,,"""lesser of"" methodology applied"
J0558,Peng benzathine/procaine inj,"100,000 UNITS",17.368,16.309,,,,,,Inflation-adjusted coinsurance
J0561,Penicillin g benzathine inj,"100,000 UNITS",21.998,16.248,,,,,,Inflation-adjusted coinsurance
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.872,20.000,,,,,,
J0577,"Inj, brixadi, 7 days or less",Less than or equal to 7 days of therapy ,404.086,20.000,,,,,,Added April 2024
J0578,"Inj brixadi, more than 7 day",Greater than 7 days and up to 28 days of therapy ,1616.346,20.000,,,,,,Added April 2024
J0583,Bivalirudin,1 MG,0.246,20.000,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,447.863,19.383,,,,,,Inflation-adjusted coinsurance
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.319,20.000,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.682,18.884,,,,,,Inflation-adjusted coinsurance
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,13.035,20.000,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.197,20.000,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.934,20.000,,,,,,
J0594,Busulfan injection,1 MG,1.042,20.000,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,3.578,20.000,,,,,,
J0596,"Injection, ruconest",10 UNITS,33.400,20.000,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,64.427,20.000,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,62.562,20.000,,,,,,
J0612,Calcium glucon (fresenius),10 MG,0.049,20.000,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.086,20.000,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,1101.736,20.000,,,,,,
J0637,Caspofungin acetate,5 MG,6.629,20.000,,,,,,
J0638,Canakinumab injection,1 MG,124.484,20.000,,,,,,
J0640,Leucovorin calcium injection,50 MG,5.137,20.000,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.053,20.000,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.709,20.000,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.015,20.000,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.557,20.000,,,,,,
J0688,"Inj cefazolin sodium, hikma",500 MG,1.084,20.000,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.241,20.000,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.815,20.000,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.337,20.000,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.896,20.000,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),7.289,20.000,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.454,20.000,,,,,,
J0697,Sterile cefuroxime injection,750 MG,1.894,20.000,,,,,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.173,20.000,,,,,,
J0701,Inj. cefepime hcl (baxter),500 MG,5.760,20.000,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.885,20.000,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,4.951,20.000,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.859,20.000,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.657,20.000,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,95.436,20.000,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,4.624,20.000,,,,,,"""lesser of"" methodology applied"
J0725,Chorionic gonadotropin/1000u,1000 UNITS,23.293,20.000,,,,,,
J0735,Clonidine hydrochloride,1 MG,17.021,20.000,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,2.266,20.000,,,,,,
J0737,"Inj, clindamycin (baxter)",300 MG,2.207,20.000,,,,,,
J0740,Cidofovir injection,375 MG,581.057,20.000,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,22.617,20.000,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.447,20.000,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.561,20.000,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.858,20.000,,,,,,
J0770,Colistimethate sodium inj,150 MG,12.841,20.000,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,68.968,18.556,,,,,,Inflation-adjusted coinsurance
J0780,Prochlorperazine injection,10 MG,3.944,20.000,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,127.351,20.000,,,,,,
J0801,Inj. acthar gel to 40 units,40 UNITS,3370.387,20.000,,,,,,
J0802,"Inj. (ani), up to 40 units",up to 40 Units,3365.303,20.000,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,28.593,20.000,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,1979.873,20.000,,,,,,
