Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective January 1, 2026 through March 31, 2026",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 3Q25 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,Hep b ig im,1 ML,137.828,20.000,,,,,,,
90375,Rabies ig im/sc,150 IU,279.949,20.000,,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,240.133,20.000,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,163.971,20.000,,,,,,,
90632,Hepa vaccine adult im,1 ML,73.542,20.000,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ML,98.160,0.000,95,98.160,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90656,IIV3 VACC NO PRSV 0.5 ML IM,0.5 ML,23.215,0.000,95,23.215,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90657,IIV3 VACCINE SPLT 0.25 ML IM,0.25 ML,11.034,0.000,95,11.034,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90658,IIV3 VACCINE SPLT 0.5 ML IM,0.5 ML,22.069,0.000,95,22.069,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90660,LAIV3 Vaccine Intranasal ,0.2 ML,29.714,0.000,95,29.714,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,0.5 ML,49.495,0.000,95,49.495,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90662,Iiv no prsv increased ag im,0.5 ML,98.160,0.000,95,98.160,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90671,PCV15 vaccine IM,1 EA,269.306,0.000,95,269.306,,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,98.160,0.000,95,98.160,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90675,Rabies vaccine im,1 ML,319.748,20.000,,,,,,,
90677,Pcv20 vaccine im,0.5 ML,312.902,0.000,95,312.902,,,,,
90684,PCV21 VACCINE IM,0.5 ML,344.252,0.000,95,344.252,,,,,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,38.972,20.000,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,39.690,20.000,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,177.555,0.000,95,177.555,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,164.422,0.000,95,164.422,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.000,95,75.145,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,33.204,0.000,95,33.204,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,75.145,0.000,95,75.145,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,164.422,0.000,95,164.422,,,,,
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,,
91304,SARSCOV2 VAC 5MCG/0.5ML IM,0.5 ML,191.919,0.000,95,191.919,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91319,SARSCV2 VAC 10MCG TRS-SUC IM,0.3 ML,94.802,0.000,95,94.802,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91320,SARSCV2 VAC 30MCG TRS-SUC IM,0.3 ML,168.367,0.000,95,168.367,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91321,SARSCOV2 VAC 25 MCG/.25ML IM,0.25 ML,147.060,0.000,95,147.060,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91322,SARSCOV2 VAC 50 MCG/0.5ML IM,0.5 ML,161.652,0.000,95,161.652,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91323,SARSCOV2 VAC 10 MCG/0.2ML IM ,10 MCG,201.913,0.000,95,201.913,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
A9573,"Inj, gadopiclenol, 1 ml",1 ML,3.298,20.000,,,,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.103,20.000,,,,,,,
A9576,Inj prohance multipack,1 ML,1.415,20.000,,,,,,,
A9577,Inj multihance,1 ML,1.799,20.000,,,,,,,
A9578,Inj multihance multipack,1 ML,1.758,20.000,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.462,20.000,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.753,20.000,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.275,20.000,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1424.767,20.000,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $202.82
microCurie 100% WAC = $169.02",
J0121,"Inj., omadacycline, 1 mg",1 MG,4.137,19.631,,,,,,Inflation-adjusted coinsurance,
