Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2024 through December 31, 2024",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q24 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90371,Hep b ig im,1 ML,139.931,20.000,,,,,,,
90375,Rabies ig im/sc,150 IU,287.708,20.000,,,,,,,
90377,Rabies ig ht&sol human im/sc,150 IU,265.505,20.000,,,,,,,
90586,Bcg vaccine intravesical,1 EACH,149.537,20.000,,,,,,,
90632,Hepa vaccine adult im,1 ML,70.476,20.000,,,,,,,
90653,Iiv adjuvant vaccine im,0.5 ML,83.490,0.000,95,83.490,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90656,IIV3 VACC NO PRSV 0.5 ML IM,0.5 ML,22.350,0.000,95,22.350,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90657,IIV3 VACCINE SPLT 0.25 ML IM,0.25 ML,10.929,0.000,95,10.929,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90658,IIV3 VACCINE SPLT 0.5 ML IM,0.5 ML,21.858,0.000,95,21.858,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90660,LAIV3 Vaccine Intranasal ,0.2 ML,28.871,0.000,95,28.871,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90661,CCIIV3 VACCINE NO PRSC 0.5ML IM,0.5 ML,36.849,0.000,95,36.849,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90662,Iiv no prsv increased ag im,0.5 ML,83.492,0.000,95,83.492,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90670,Pcv13 vaccine im,0.5 ML,257.989,0.000,95,257.989,,,,,
90671,PCV15 vaccine IM,1 EA,253.560,0.000,95,253.560,,,,,
90673,Riv3 vaccine no preserv im,0.5 ML,83.492,0.000,95,83.492,,,,Added October 2024 - see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90675,Rabies vaccine im,1 ML,350.140,20.000,,,,,,,
90677,Pcv20 vaccine im,0.5 ML,298.036,0.000,95,298.036,,,,,
90684,PCV21 VACCINE IM,0.5 ML,327.893,0.000,,,,,,Added October 2024,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,43.661,20.000,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,38.520,20.000,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,168.298,0.000,95,168.298,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,158.152,0.000,95,158.152,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,75.145,0.000,95,75.145,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,30.770,0.000,95,30.770,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.376,0.000,95,70.376,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.752,0.000,95,140.752,,,,,
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,,
91304,SARSCOV2 VAC 5MCG/0.5ML IM,0.5 ML,161.538,0.000,95,161.538,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91318,SARSCOV2 VAC 3MCG TRS-SUC IM,0.3 ML,65.550,0.000,95,65.550,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91319,SARSCV2 VAC 10MCG TRS-SUC IM,0.3 ML,87.780,0.000,95,87.780,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91320,SARSCV2 VAC 30MCG TRS-SUC IM,0.3 ML,155.895,0.000,95,155.895,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91321,SARSCOV2 VAC 25 MCG/.25ML IM,0.25 ML,147.060,0.000,95,147.060,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
91322,SARSCOV2 VAC 50 MCG/0.5ML IM,0.5 ML,161.652,0.000,95,161.652,,,,See COVID-19 vaccine pricing webpage for payment effective dates,
A9573,Inj gadopiclenol,1 ML,4.168,20.000,,,,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.117,20.000,,,,,,,
A9576,Inj prohance multipack,1 ML,1.468,20.000,,,,,,,
A9577,Inj multihance,1 ML,1.815,20.000,,,,,,,
A9578,Inj multihance multipack,1 ML,1.794,20.000,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.492,20.000,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.733,20.000,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.274,20.000,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1366.361,20.000,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $191.18
microCurie 100% WAC = $159.32",
J0121,"Inj., omadacycline, 1 mg",1 MG,3.802,20.000,,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.209,20.000,,,,,,,
J0129,Abatacept injection,10 MG,43.437,20.000,,,,,,"""lesser of"" methodology applied",
J0131,"Inj, acetaminophen (nos)",10 MG,0.041,20.000,,,,,,,
J0132,Acetylcysteine injection,100 MG,0.569,20.000,,,,,,,
J0133,Acyclovir injection,5 MG,0.026,20.000,,,,,,,
J0134,Inj acetaminophen -fresenius,10 MG,0.041,20.000,,,,,,,
J0136,"Inj, acetaminophen (b braun)",10 MG,0.048,20.000,,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.053,20.000,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.397,20.000,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.825,20.000,,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,20.000,,,,,,,
J0173,"Inj, epinephrine (belcher)",0.1 MG,2.009,20.000,,,,,,,
J0174,"Inj, lecanemab-irmb, 1 mg",1 MG,1.336,20.000,,,,,,,
J0175,"Inj, donanemab-azbt, 2 mg",2 MG,4.094,20.000,,,,,,Added October 2024,
J0177,"Inj, aflibercept hd, 1 mg",1 MG,333.696,20.000,,,,,,,
J0178,Aflibercept injection,1 MG,821.980,20.000,,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,332.565,20.000,,,,,,,
J0180,Agalsidase beta injection,1 MG,223.522,20.000,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.765,20.000,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2337.693,20.000,,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,5.003,20.000,,,,,,,
J0217,Inj velmanase alfa-tycv 1 mg,1 MG,442.004,20.000,,,,,,Added October 2024,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,382.560,20.000,,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,77.752,20.000,,,,,,,
J0221,Lumizyme injection,10 MG,201.965,20.000,,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,98.879,20.000,,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,112.135,20.000,,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,317.878,20.000,,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,4926.002,20.000,,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,6.354,20.000,,,,,,,
