October 2024 ASP NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective October 1, 2024 through December 31, 2024",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
_2024_CODE,Short Description,LABELER NAME,NDC2,Drug Name,HCPCS dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90371,Hep b ig im,"GRIFOLS USA, LLC",13533-0636-01,HyperHepB ,1 ML,1,1,1,1
90371,Hep b ig im,"GRIFOLS USA, LLC",13533-0636-03,HyperHepB ,1 ML,0.5,1,0.5,0.5
90371,Hep b ig im,"GRIFOLS USA, LLC",13533-0636-05,HyperHepB,1 ML,5,1,5,5
90371,Hep b ig im,"ADMA Biologics, Inc",69800-4202-01,Nabi-Hb,1 ML,1,1,1,1
90371,Hep b ig im,"ADMA Biologics, Inc",69800-4203-01,Nabi-Hb,1 ML,5,1,5,5
90375,Rabies ig im/sc,"GRIFOLS USA, LLC",13533-0318-01,HyperRAB,150 IU,1,1,2,2
90375,Rabies ig im/sc,"GRIFOLS USA, LLC",13533-0318-03,HyperRAB,150 IU,3,1,6,6
90375,Rabies ig im/sc,"GRIFOLS USA, LLC",13533-0318-05,HyperRAB,150 IU,5,1,10,10
90377,Rabies ig ht&sol human im/sc,Kedrion Biopharma Inc,76125-0150-02,Kedrab,150 IU,2,1,2,2
90377,Rabies ig ht&sol human im/sc,Kedrion Biopharma Inc,76125-0150-10,Kedrab,150 IU,10,1,10,10
90586,Bcg vaccine intravesical,Merck Sharp & Dohme LLC,00052-0602-02,Tice Bcg,1 EACH,1,1,1,1
90632,Hepa vaccine adult im,Merck Sharp & Dohme LLC,00006-4096-02,Vaqta,1 ML,1,10,1,10
90632,Hepa vaccine adult im,Merck Sharp & Dohme LLC,00006-4841-41,Vaqta,1 ML,1,10,1,10
90632,Hepa vaccine adult im,A-S Medication Solutions,50090-1502-00,Havrix,1 ML,1,10,1,10
90632,Hepa vaccine adult im,GlaxoSmithKline LLC,58160-0826-52,Havrix,1 ML,1,10,1,10
90675,Rabies vaccine im,Sanofi Pasteur Inc.,49281-0252-51,Imovax Rabies,1 ML,1,1,1,1
90675,Rabies vaccine im,BAVARIAN NORDIC INC.,50632-0010-01,Rabavert,1 ML,1,1,1,1
90714,Td vacc no presv 7 yrs+ im,"GRIFOLS USA, LLC",13533-0131-01,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90714,Td vacc no presv 7 yrs+ im,Sanofi Pasteur Inc.,49281-0215-10,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90714,Td vacc no presv 7 yrs+ im,Sanofi Pasteur Inc.,49281-0215-15,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90714,Td vacc no presv 7 yrs+ im,A-S Medication Solutions,50090-2062-00,Tenivac,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,Sanofi Pasteur Inc.,49281-0400-10,Adacel,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,Sanofi Pasteur Inc.,49281-0400-20,Adacel,1 EA,0.5,5,1,5
90715,Tdap vaccine 7 yrs/> im,A-S Medication Solutions,50090-1377-00,Boostrix,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,A-S Medication Solutions,50090-1831-00,Boostrix,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,GlaxoSmithKline LLC,58160-0842-11,Boostrix,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,GlaxoSmithKline LLC,58160-0842-52,Boostrix,0.5 ML,0.5,10,1,10
A9573,Inj gadopiclenol,BRACCO DIAGNOSTICS INC.,00270-7015-46,Vueway,1 ML,30,25,30,750
A9573,Inj gadopiclenol,BRACCO DIAGNOSTICS INC.,00270-7015-48,Vueway,1 ML,50,25,50,1250
A9573,Inj gadopiclenol,BRACCO DIAGNOSTICS INC.,00270-7020-38,Vueway,1 ML,3,10,3,30
A9573,Inj gadopiclenol,BRACCO DIAGNOSTICS INC.,00270-7025-40,Vueway,1 ML,7.5,10,7.5,75
A9573,Inj gadopiclenol,BRACCO DIAGNOSTICS INC.,00270-7030-42,Vueway,1 ML,10,10,10,100
A9573,Inj gadopiclenol,Guerbet LLC,67684-4230-02,Elucirem,1 ML,3,10,3,30
A9573,Inj gadopiclenol,Guerbet LLC,67684-4231-02,Elucirem,1 ML,7.5,10,7.5,75
A9573,Inj gadopiclenol,Guerbet LLC,67684-4232-02,Elucirem,1 ML,10,10,10,100
A9573,Inj gadopiclenol,Guerbet LLC,67684-4240-02,Elucirem,1 ML,7.5,10,7.5,75
A9573,Inj gadopiclenol,Guerbet LLC,67684-4241-02,Elucirem,1 ML,10,10,10,100
A9573,Inj gadopiclenol,Guerbet LLC,67684-4250-04,Elucirem,1 ML,50,25,50,1250
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-01,Clariscan,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-02,Clariscan,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-05,Clariscan,0.1 ML,20,10,200,2000
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-06,Gadoterate Meglumine,0.1 ML,5,10,50,500
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-12,Gadoterate Meglumine,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-17,Gadoterate Meglumine,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-22,Gadoterate Meglumine,0.1 ML,20,10,200,2000
A9575,Inj gadoterate meglumi 0.1ml,GE Healthcare Inc.,00407-2943-70,Gadoterate Meglumine,0.1 ML,100,10,1000,10000
A9575,Inj gadoterate meglumi 0.1ml,"FreseniUS Kabi USA, LLC",65219-0080-05,Gadoterate Meglumine,0.1 ML,5,10,50,500
A9575,Inj gadoterate meglumi 0.1ml,"FreseniUS Kabi USA, LLC",65219-0082-10,Gadoterate Meglumine,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,"FreseniUS Kabi USA, LLC",65219-0084-15,Gadoterate Meglumine,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi 0.1ml,"FreseniUS Kabi USA, LLC",65219-0086-20,Gadoterate Meglumine,0.1 ML,20,10,200,2000
A9575,Inj gadoterate meglumi 0.1ml,"FreseniUS Kabi USA, LLC",65219-0088-50,Gadoterate Meglumine,0.1 ML,100,6,1000,6000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-00,Dotarem,0.1 ML,5,10,50,500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-01,Dotarem,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-05,Dotarem,0.1 ML,10,5,100,500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-06,Dotarem,0.1 ML,15,5,150,750
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2001-00,Dotarem,0.1 ML,5,10,50,500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2001-01,Dotarem,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2001-02,Dotarem,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2001-03,Dotarem,0.1 ML,20,10,200,2000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2001-04,Dotarem,0.1 ML,100,6,1000,6000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-3001-01,Dotarem,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-3001-02,Dotarem,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-3001-03,Dotarem,0.1 ML,20,10,200,2000
A9576,Inj prohance multipack,BRACCO DIAGNOSTICS INC.,00270-1111-70,Prohance Multipack,1 ML,50,5,50,250
A9577,Inj multihance,BRACCO DIAGNOSTICS INC.,00270-5164-12,Multihance,1 ML,5,5,5,25
A9577,Inj multihance,BRACCO DIAGNOSTICS INC.,00270-5164-13,Multihance,1 ML,10,5,10,50
A9577,Inj multihance,BRACCO DIAGNOSTICS INC.,00270-5164-14,Multihance,1 ML,15,5,15,75
A9577,Inj multihance,BRACCO DIAGNOSTICS INC.,00270-5164-15,Multihance,1 ML,20,5,20,100
A9578,Inj multihance multipack,BRACCO DIAGNOSTICS INC.,00270-5264-16,Multihance Multipack,1 ML,50,5,50,250
A9578,Inj multihance multipack,BRACCO DIAGNOSTICS INC.,00270-5264-17,Multihance Multipack,1 ML,100,5,100,500
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS INC.,00270-1111-01,Prohance,1 ML,10,5,10,50
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS INC.,00270-1111-02,Prohance,1 ML,15,5,15,75
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS INC.,00270-1111-03,Prohance,1 ML,20,5,20,100
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS INC.,00270-1111-04,Prohance,1 ML,5,5,5,25
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-16,Prohance Prefilled Syringes,1 ML,10,5,10,50
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS INC.,00270-1111-85,Prohance,1 ML,100,5,100,500
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-05,Omniscan,1 ML,5,10,5,50
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-10,Omniscan,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-12,Omniscan,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-15,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-17,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-20,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-22,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare Inc.,00407-0690-70,Omniscan,1 ML,100,10,100,1000
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-01,Magnevist ,1 ML,10,20,10,200
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-02,Magnevist ,1 ML,20,20,20,400
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-05,Magnevist ,1 ML,5,20,5,100
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-11,Magnevist ,1 ML,100,10,100,1000
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-15,Magnevist ,1 ML,15,20,15,300
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-36,Magnevist ,1 ML,10,5,10,50
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-37,Magnevist ,1 ML,15,5,15,75
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-38,Magnevist ,1 ML,20,5,20,100
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-58,Magnevist ,1 ML,50,10,50,500
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-81,Magnevist ,1 ML,5,20,5,100
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-82,Magnevist ,1 ML,10,20,10,200
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-83,Magnevist ,1 ML,15,20,15,300
A9579,"Gad-base mr contrast nos,1ml",BAYER HEALTHCARE PHARMACEUTICALS INC.,50419-0188-84,Magnevist ,1 ML,20,20,20,400
A9581,Gadoxetate disodium inj,Bayer HealthCare Pharmaceuticals Inc.,50419-0320-05,Gadoxetate Disodium,1 ML,10,5,10,50
A9581,Gadoxetate disodium inj,Bayer HealthCare Pharmaceuticals Inc.,50419-0320-15,Eovist,1 ML,15,5,15,75
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-11,Gadavist,0.1 ML,7.5,20,75,1500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-12,Gadavist,0.1 ML,10,20,100,2000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-13,Gadavist,0.1 ML,15,20,150,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-14,Gadavist,0.1 ML,30,10,300,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-15,Gadavist,0.1 ML,65,10,650,6500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-18,Gadavist,0.1 ML,30,10,300,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-19,Gadavist,0.1 ML,65,10,650,6500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-27,Gadavist,0.1 ML,7.5,5,75,375
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-28,Gadavist,0.1 ML,10,5,100,500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-29,Gadavist,0.1 ML,15,5,150,750
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-37,Gadavist,0.1 ML,2,15,20,300
A9585,Gadobutrol injection,"FreseniUS Kabi USA, LLC",65219-0281-02,Gadobutrol ,0.1 ML,2,15,20,300
A9585,Gadobutrol injection,"FreseniUS Kabi USA, LLC",65219-0281-07,Gadobutrol ,0.1 ML,7.5,20,75,1500
A9585,Gadobutrol injection,"FreseniUS Kabi USA, LLC",65219-0281-10,Gadobutrol ,0.1 ML,10,20,100,2000
A9585,Gadobutrol injection,"FreseniUS Kabi USA, LLC",65219-0281-15,Gadobutrol ,0.1 ML,15,20,150,3000
A9585,Gadobutrol injection,"FreseniUS Kabi USA, LLC",65219-0287-30,Gadobutrol ,0.1 ML,30,10,300,3000
A9585,Gadobutrol injection,"FreseniUS Kabi USA, LLC",65219-0289-65,Gadobutrol ,0.1 ML,65,10,650,6500
