NDC,RXCUI,QUMI Code,Package Count,Supplier,Description,Dosage Form,Dosage Route,Strength,Measure,ANDA,Generic Description,DEA
65044-4812-01,995555,1010w1c,1,Jubilant HollisterStier LLC,Domestic cow hair extract 10 mg/mL / domestic cow skin extract 10 mg/mL Vial,Vial,INJECTABLE,50; 50,mg; mg,BLA103888,BOS TAURUS DANDER; BOS TAURUS HAIR,
00143-9620-10,309594,1037g6n,10,Hikma Pharmaceuticals USA Inc.,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA080515,CYANOCOBALAMIN,
00404-9840-10,309594,1037g6n,1,"Henry Schein, Inc.",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA204829,CYANOCOBALAMIN,
00517-0032-25,309594,1037g6n,25,"American Regent, Inc.",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA080737,CYANOCOBALAMIN,
16714-0302-10,309594,1037g6n,10,Northstar Rx LLC.,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA214655,CYANOCOBALAMIN,
51662-1440-01,309594,1037g6n,1,"HF Acquisition Co LLC, DBA HealthFirst",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA080737,CYANOCOBALAMIN,
52584-0399-10,309594,1037g6n,1,"General Injectables and Vaccines, Inc.",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA204829,CYANOCOBALAMIN,
67457-0399-25,309594,1037g6n,25,Mylan Institutional LLC,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA204829,CYANOCOBALAMIN,
68083-0561-25,309594,1037g6n,25,Gland Pharma Limited,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA214390,CYANOCOBALAMIN,
69680-0113-99,309594,1037g6n,10,Vitruvias Therapeutics,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA209255,CYANOCOBALAMIN,
70069-0172-10,309594,1037g6n,10,"Somerset Therapeutics, LLC",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA206503,CYANOCOBALAMIN,
70069-0172-25,309594,1037g6n,25,"Somerset Therapeutics, LLC",Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA206503,CYANOCOBALAMIN,
70710-1664-06,309594,1037g6n,10,Zydus Pharmaceuticals USA Inc.,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA214655,CYANOCOBALAMIN,
70710-1664-07,309594,1037g6n,25,Zydus Pharmaceuticals USA Inc.,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA214655,CYANOCOBALAMIN,
70771-1689-06,309594,1037g6n,10,Zydus Lifesciences Limited,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA214655,CYANOCOBALAMIN,
70771-1689-07,309594,1037g6n,25,Zydus Lifesciences Limited,Vitamin B12 1 mg/mL Vial [Cobal-1000],Vial,INJECTABLE,10,mg,ANDA214655,CYANOCOBALAMIN,
00703-0686-01,349410,10bskgs,1,"Teva Parenteral Medicines, Inc.",Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100,mg,ANDA206648,TREPROSTINIL,
00781-3427-80,349410,10bskgs,1,Sandoz Inc,Treprostinil 5 mg/mL Vial [Remodulin],Vial,INJECTABLE,100,mg,ANDA203649,TREPROSTINIL,
